product_name,revenue,profit,orders
"Apple Smart Phone, Full Size",81632.3086,5509.9886,46
"Cisco Smart Phone, Full Size",73184.5806,16522.120600000002,36
"Motorola Smart Phone, Full Size",71613.847,17522.047,35
"Nokia Smart Phone, Full Size",70183.7105,10460.9305,45
"Hon Executive Leather Armchair, Adjustable",56723.255099999995,5651.735100000002,47
Canon imageCLASS 2200 Advanced Copier,50399.85599999999,21279.939199999997,4
"Office Star Executive Leather Armchair, Adjustable",45493.70799999999,3300.958000000001,39
"Nokia Smart Phone, with Caller ID",44108.216700000004,8877.616699999999,21
"Harbour Creations Executive Leather Armchair, Adjustable",41922.87,8241.310000000001,33
"Samsung Smart Phone, Cordless",40672.35000000001,-1936.1700000000012,22
